product_seq,pci_type,pci_number
18052067,PCIex1,2
16103105,PCIex16,2
16103105,PCIex1,1
18967898,PCIex16,1
18967898,PCIex16(at x4),2
18967898,PCIex1,2
16095767,PCIex16,1
16095767,PCIex1,1
19608629,PCIex16,1
19608629,PCIex16(at x4),1
19608629,PCIex1,1
17926424,PCIex16,1
17926424,PCIex1,2
18254966,PCIex16,1
18254966,PCIex16(at x4),2
18254966,PCIex1,1
19903481,PCIex16,1
19903481,PCIex16(at x4),1
19903481,PCIex1,2
18330392,PCIex16,1
18330392,PCIex16(at x4),2
25129808,PCIex16,6
25208807,PCIex16,4
21574646,PCIex16,1
21574646,PCIex1,2
18060392,PCIex16,1
18060374,PCIex16,1
18060374,PCIex16(at x4),1
18060374,PCIex16(at x2),1
27157916,PCIex16,1
27157916,PCIex16(at x4),2
27157916,PCIex1,2
18718865,PCIex16,1
18718865,PCIex16(at x4),2
20079008,PCIex16,1
20079008,PCIex16(at x4),1
20079008,PCIex16(at x1),2
19627397,PCIex16,2
19627397,PCIex1,1
27632780,PCIex16,1
27632780,PCIex16(at x4),1
27632780,PCIex1,1
17926757,PCIex16,1
18403331,PCIex16,1
18403331,PCIex1,1
18044522,PCIex16,1
18044522,PCIex16(at x4),1
18044522,PCIex1,1
16103102,PCIex16,2
16103102,PCIex1,1
17793371,PCIex16,1
17793371,PCIex1,1
19566989,PCIex16,1
19566989,PCIex16(at x4),1
19566989,PCIex1,3
12797720,PCIex16,1
12797720,PCIex1,1
18060353,PCIex16,1
18060353,PCIex16(at x4),1
18060353,PCIex1,2
18652886,PCIex16,1
18652886,PCIex1,1
19772675,PCIex16,1
19772675,PCIex16(at x4),1
19772675,PCIex1,2
19938515,PCIex16,1
19938515,PCIex1,1
19772732,PCIex16,1
19772732,PCIex16(at x4),1
19772732,PCIex1,1
19606709,PCIex16,1
19606709,PCIex16(at x4),1
19606709,PCIex1,2
5064931,PCIex16,1
5064931,PCIex1,2
18646934,PCIex16,1
18646934,PCIex1,1
16099889,PCIex16,1
7015291,PCIex16,2
7015291,PCIex1,4
18650654,PCIex16,1
18650654,PCIex16(at x1),2
17926751,PCIex16,1
19673210,PCIex16,1
19673210,PCIex16(at x4),1
19673210,PCIex16(at x1),1
18725312,PCIex16,1
18725312,PCIex1,2
13653038,PCIex16,1
13653038,PCIex1,1
18000098,PCIex16,1
18000098,PCIex16(at x4),2
18000098,PCIex1,1
18651545,PCIex16,1
18651545,PCIex16(at x4),1
12130286,PCIex16,1
12130286,PCIex1,1
18044462,PCIex16,1
18044462,PCIex16(at x4),1
18044462,PCIex4,1
18044462,PCIex1,2
17970548,PCIex16,1
17970548,PCIex16(at x4),1
17970548,PCIex16(at x1),1
27629561,PCIex16,1
27629561,PCIex1,2
11825848,PCIex16,2
11825848,PCIex1,1
18375494,PCIex16,1
18255077,PCIex16,1
18255077,PCIex16(at x4),2
18255077,PCIex1,1
18053897,PCIex16,1
18053897,PCIex16(at x4),2
18053897,PCIex1,1
18060389,PCIex16,1
18060389,PCIex16(at x4),1
18060389,PCIex1,1
18060371,PCIex16,1
19670843,PCIex16,1
19670843,PCIex1,2
19670843,PCI,1
17926748,PCIex16,1
17926748,PCIex16(at x4),1
17926748,PCIex16(at x1),1
18052997,PCIex16,1
18060380,PCIex16,1
18060380,PCIex16(at x4),1
18060380,PCIex16(at x1),1
18060380,PCIex1,1
19605602,PCIex16,1
19605602,PCIex16(at x4),1
19605602,PCIex16(at x1),1
13289171,PCIex16,2
13289171,PCIex1,1
18725876,PCIex16,1
18725876,PCIex16(at x4),1
18725876,PCIex1,1
18918575,PCIex16,1
18918575,PCIex16(at x4),1
18918575,PCIex1,1
17792948,PCIex16,1
17792948,PCIex1,1
17971259,PCIex16,1
17971259,PCIex16(at x4),1
17971259,PCIex1,1
18725831,PCIex16,1
18725831,PCIex16(at x4),1
18725831,PCIex1,1
9500100,PCIex16,3
9500100,PCIex1,3
20505809,PCIex16,1
18060362,PCIex16,1
18060362,PCIex16(at x4),1
18060362,PCIex1,3
16102367,PCIex16,1
16102367,PCIex1,1
18060347,PCIex16,1
18060347,PCIex16(at x4),1
18060347,PCIex16(at x1),1
19429325,PCIex16,1
19429325,PCIex16(at x4),1
19429325,PCIex1,2
18169370,PCIex16,1
18169370,PCIex16(at x4),1
11571272,PCIex16,2
11571272,PCIex1,3
18815243,PCIex16,1
18815243,PCIex16(at x1),2
11574341,PCIex16,2
11574341,PCIex1,3
21755828,PCIex16,1
21755828,PCIex16(at x4),1
19356875,PCIex16,1
19356875,PCIex1,1
13154493,PCIex16,1
13154493,PCIex1,2
18295808,PCIex16,1
18295808,PCIex16(at x4),2
27572138,PCIex16,1
27572138,PCIex1,1
19607402,PCIex16,1
19607402,PCIex16(at x4),1
19607402,PCIex1,1
18255188,PCIex16,1
16103138,PCIex16,1
16103138,PCIex1,1
18140852,PCIex16,1
18140852,PCIex16(at x4),1
18140852,PCIex1,1
12086510,PCIex16,1
12086510,PCIex1,1
21518960,PCIex16,2
21518960,PCIex16(at x4),1
19903283,PCIex16,1
19903283,PCIex16(at x4),1
19903283,PCIex1,2
18052460,PCIex16,1
18052460,PCIex16(at x4),1
18052460,PCIex1,1
17926742,PCIex16,1
17926742,PCIex16(at x4),1
17926742,PCIex4,1
19756130,PCIex16,1
19756130,PCIex16(at x4),1
19756130,PCIex1,2
17926775,PCIex16,1
17926775,PCIex16(at x4),2
17926775,PCIex1,1
20317796,PCIex16,1
20317796,PCIex16(at x4),1
20317796,PCIex1,1
27675110,PCIex16,1
27675110,PCIex1,1
18981086,PCIex16,1
18981086,PCIex16(at x1),2
28029617,PCIex16,1
28029617,PCIex1,1
16103186,PCIex16,2
16103186,PCIex1,2
18039902,PCIex16,1
18039902,PCIex16(at x4),2
17847248,PCIex16,1
17847248,PCIex1,1
18663521,PCIex16,1
18663521,PCIex16(at x4),1
20014406,PCIex16,1
20014406,PCIex16(at x4),1
20014406,PCIex16(at x1),2
17926736,PCIex16,1
17926736,PCIex16(at x2),1
19427744,PCIex16,1
19427744,PCIex16(at x4),1
19427744,PCIex1,2
20140877,PCIex16,1
20140877,PCIex1,2
18646154,PCIex16,1
18646154,PCIex1,1
19691519,PCIex16,1
19691519,PCIex16(at x1),2
18651404,PCIex16,1
18651404,PCIex16(at x1),2
16260506,PCIex16,1
16260506,PCIex1,1
18192749,PCIex16,2
18192749,PCIex4,1
18192749,PCIex1,1
19996577,PCIex16,1
19996577,PCIex16(at x1),2
18060368,PCIex16,1
18060368,PCIex16(at x4),1
18254912,PCIex16,1
18254912,PCIex16(at x4),2
18254912,PCIex1,1
18060365,PCIex16,1
18060365,PCIex16(at x4),1
18060365,PCIex1,1
17971202,PCIex16,1
17971202,PCIex16(at x4),1
17971202,PCIex1,1
25866491,PCIex16,1
25866491,PCIex1,1
20343650,PCIex16,1
20343650,PCIex1,2
20317493,PCIex16,1
20317493,PCIex1,2
16314473,PCIex16,1
16314473,PCIex1,1
20536331,PCIex16,1
20536331,PCIex1,2
20536331,PCI,1
6051885,PCIex16,1
6051885,PCIex1,1
18652904,PCIex16,1
18652904,PCIex16(at x4),1
18652904,PCIex1,1
11337861,PCIex16,1
14348456,PCIex16,3
14348456,PCIex1,2
19995209,PCIex16,1
19772489,PCIex16,1
19772489,PCIex16(at x4),1
19772489,PCIex16(at x1),1
16103126,PCIex16,2
16103126,PCIex1,2
17971247,PCIex16,1
17971247,PCIex16(at x4),1
17971247,PCIex1,1
18054518,PCIex16,1
18054518,PCIex16(at x4),1
18054518,PCIex1,2
19608158,PCIex16,1
19608158,PCIex16(at x4),1
19608158,PCIex1,1
18059426,PCIex16,1
18059426,PCIex16(at x4),2
18059426,PCIex1,1
12940763,PCIex1,1
18645974,PCIex16,1
18645974,PCIex16(at x4),1
18645974,PCIex16(at x1),1
18645974,PCIex1,1
18450659,PCIex16,1
18450659,PCIex16(at x4),1
18450659,PCIex16(at x1),1
19610558,PCIex16,1
19610558,PCIex1,1
18652901,PCIex16,1
18652901,PCIex16(at x4),1
18652901,PCIex16(at x1),1
18652901,PCIex1,2
18645065,PCIex16,1
18645065,PCIex16(at x4),1
18645065,PCIex1,1
18725330,PCIex16,1
18725330,PCIex16(at x4),1
18725330,PCIex1,2
27636314,PCIex16,1
27636314,PCIex16(at x4),1
19606931,PCIex16,1
19606931,PCIex16(at x4),1
19606931,PCIex1,2
18060779,PCIex16,1
18060779,PCIex16(at x4),1
18060779,PCIex1,1
13154523,PCIex16,1
13154523,PCIex16(at x4),1
