name,cpu,ram,gpu,dx,os,sto,spec_class
A.I.M. 2 Clan Wars,"Intel Pentium IV or AMD Athlon 1,5 HHz",768 MB,"64 Mb video memory, nVidia GeForce 3 and higher; or ATI Radeon 8500 and higher; AGP 4x; for maximum settings 128 Mb video memory, nVidia GeForce FX 5900; or ATI Radeon 9800 and higher; AGP 8x",Direct X 8.1,"Microsoft Windows 98 SE, ME, 2000, XP","3,500 MB hard disk space for installation; 600 Mb for save games and swap file",1
A.N.N.E,2.2 ghz,2 GB RAM,[GT710]  [HD7750],,Microsoft Windows 10,2 GB available space,0
A.N.N.E,2.4 ghz,3 GB RAM,[GT730]  [R7 240],,Microsoft Windows 10,2 GB available space,1
A3 India,P III 600MHz,128 MB RAM,"min. 32 MB VRAM
NVIDIA:  Riva TNT series
ATI:  Radeon 7000
3dfx:  Voodoo 4  ",DirectX 8.1 or higher,,1.2 GB,0
A3 India,P III 1GHz,512 MB RAM,"NVIDIA:  GeForce 2 or higher
ATI:  Radeon 8500 or higher
3dfx:  Higher than Voodoo 4 ",DirectX 8.1 or higher,,1.5 GB,1
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,1.5 GHz processor,1GB,3D card with 512MB video memory,DirectX 9.0c,Windows XP/Vista/7,,0
Aaero,Intel Core i3,4 GB RAM,NVidia GTX 550,,Windows 10,2 GB available space,0
Aarklash: Legacy,"AMD/intel dual-core running at 1,8 GHz (AMD Athlon II and Intel Core2Duo are the oldest CPU architectures recommended)","1,5 Go for windows XP / 2 Go for Vista, Seven or 8 GB RAM ","Integrated or mobile graphic card, with at least 256MB of dedicated VRAM and with at least DirectX 9.0c and Shader Model 4.0 support. ATI/AMD Radeon 3800 series and above and NVIDIA GeForce 8600 series are minimum required graphic cards.",Version 9.0c,Windows 7 / Vista / XP PC (32 ou 64 bit),4 GB available space,0
Aarklash: Legacy,"AMD/intel quad-core running at 2,2 GHz (Intel Core I 1st gen or AMD Phenom II x4 or newer architectures are recommended)",2 Go for 32 bit windows (XP/Vista/7/8) / 3 Go for 64 bit windows (XP/Vista/7/8) GB RAM,ATI/Nvidia dedicated or mobile graphic card with at least 512MB of dedicated VRAM and with at least DirectX 9.0c and Shader Model 4.0 support. ATI/AMD Radeon HD4800 series and NVIDIA GeForce GTX260 and above are recommended graphic cards.,Version 9.0c,Windows 7 / Vista / XP PC (32 ou 64 bit),4 GB available space,1
Abandon Ship,2.4GHz Processor,4 GB RAM,NVIDIA GeForce 460 Graphics Card or equivalent,Version 11,Windows 7 64-Bit,5 GB available space,0
Abatron,2 GHz Dual-Core 64-bit CPU,4 GB RAM,DirectX10 Compatible GPU with 1 GB Video RAM,Version 10,"64-Bit Windows 7 Service Pack 1, or Windows 8, or Windows 10",5 GB available space,0
Above,2 GHz Processor or better,2 GB RAM,Intel HD 3000 or better,Version 11,Vista SP1+ or later,2 GB available space,0
Absolute Drift,2.2GHz Dual Core,2 GB RAM,512 MB RAM,,Windows XP / Vista / 7 / 8 / 10 (64-bit Systems Only),350 MB available space,0
Absolute Tactics: Daughters of Mercy,Intel Core i5-650 | AMD Phenom II X4 965,2 GB RAM,DirectX10 graphics adapter with 512 MB VRAM,Version 10,Windows 7,4 GB available space,0
Absolver,Intel Core i7-950 (4 * 3000) or equivalent / AMD Phenom II X4 965 (4 * 3400) or equivalent,4 GB RAM,GeForce GTX 480 (1536 MB) / Radeon HD 7850 (2048 MB),Version 9.0,Windows 7/8/8.1/10 x64,11 GB available space,0
Absolver,Intel Core i5-4670K (4*3400) or equivalent / AMD FX-8320 (8 * 3500) or equivalent,8 GB RAM,GeForce GTX 960 (4096 MB) / Radeon R9 380 (2048 MB) or better,Version 9.0,Windows 7/8/8.1/10 x64,11 GB available space,1
Abstract Initiative,Core i3 | AMD A6 2.4Ghz,2 GB RAM,NVIDIA GeForce GT 240 | AMD Radeon HD 4670 | Intel HD Graphics 4000,Version 9.0,Windows Vista SP2 | 7 SP1 | 8 | 10,5 GB available space,0
Abyss Odyssey,Intel Core 2 Duo 2.4 GHz or AMD Athlon X2 4800+,2 GB RAM,ATI 3850HD 512 MB or NVIDIA GeForce 8800 GT 512MB,Version 9.0c,"Windows XP, Vista, 7",4 GB available space,0
Abyss Odyssey,Intel Core i5,4 GB RAM,NVIDIA GeForce GTX 280,Version 9.0c,"Windows XP, Vista, 7",4 GB available space,1
Abyss World : Apocalypse,INTEL CORE I5-8400 or AMD RYZEN 3 3300X,12 GB RAM,NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB,Version 12,Windows 10 (64-bit),80 GB available space,0
Abyss World : Apocalypse,INTEL CORE I7-8700K or AMD RYZEN 5 3600X,16 GB RAM,NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GB,Version 12,Windows 10/11 (64-bit),80 GB available space,1
ABZU,3.0GHz CPU Dual Core,4 GB RAM,Geforce GTX 750 / Radeon R7 260X,Version 11,"Windows 7, 64-bit",6 GB available space,0
ABZU,2.4GHz CPU Quad Core,8 GB RAM,Geforce GTX 780 / Radeon R9 290X,Version 11,"Windows 7, 64-bit",6 GB available space,1
AC-130: Operation Devastation,Pentium® III 1.4 GHz or faster or equivalent,256 MB RAM,64 MB video card or higher,DirectX® 9.0c,Windows® XP/Vista,250 MB Hard Disk space,0
Academia: School Simulator,1.6 GHz,4 GB RAM,onboard,,"Windows 7,10",50 MB available space,0
Academia: School Simulator,(Any),8 GB RAM,onboard,,"Windows 7,10",,1
Acaratus,Intel Core 2 Duo or AMD equivalent,2 GB RAM,512 MB VRAM,Version 10,Windows XP/Vista/7/8/10 (32 or 64 bit),2 GB available space,0
Acaratus,Intel i5 series or AMD equivalent,2 GB RAM,NVIDIA 1 GB VRAM,Version 10,Windows 7/8/10 (64 bit),2 GB available space,1
Accounting,Intel i5-4590 equivalent or better,4 GB RAM,"Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better",,"Windows 7 SP1, Windows 8.1 or later, Windows 10",1 GB available space,0
ACE COMBAT 7: SKIES UNKNOWN,Intel Core i3-7100,4 GB RAM,NVIDIA GeForce GTX 750Ti (2GB),Version 11,Windows 7 / 8 / 8.1 / 10 (64-bit OS required),50 GB available space,0
ACE COMBAT 7: SKIES UNKNOWN,Intel Core i5-7500,8 GB RAM,NVIDIA GeForce GTX 1060 (3GB),Version 11,Windows 7 / 8 / 8.1 / 10 (64-bit OS required),50 GB available space,1
Ace Combat Assault Horizon,Intel Core 2 Duo 1.8Ghz or AMD Athlon X2 2.4 Ghz,2 GB RAM,Nvidia GeForce 8800GT and higher ; ATI radeon HD 3850 and higher,9.0c,"Windows XP , Windows Vista, Windows 7, 8 (32 or 64 bit versions, optimized for 64 bit and multicore processors )",16 GB HD space,0
Ace Combat Assault Horizon,"Intel Core 2 Quad 2.7Ghz or better, AMD Phenom II X4 3Ghz or better",4 GB,Nvidia GeForce 8800GT and higher ; ATI radeon HD 3850,9.0c,"Windows Vista, Windows 7, 8 (32 or 64 bit versions, optimized for 64 bit and multicore processors )",20GB,1
Ace of Seafood,Intel Core 2 Duo 2GHz or higher,1 GB RAM,"DirectX® 11 supported GPU（GeForce GTX 400 series, or Radeon HD 6000 series）",Version 11,"Windows 7, 8, 8.1, 10",1 GB available space,0
Ace of Spades,2.4 GHz Intel Dual Core Processor or AMD equivalent ,2 GB RAM,"Recommend use of dedicated graphics card (GeForce 6800 GT or higher, Radeon X1600 or higher, Intel Graphics version GMA 4500 or higher with 128 MB of dedicated RAM. Laptop/Mobility cards will vary. OpenGL 2.0 Support or better",9.0c,Windows XP with SP3 / Vista / 7,200 MB HD space,0
Ace of Spades,2.6+ GHz Intel Quad Core Processor or AMD equivalent ,4 GB RAM,GeForce GTX460 dedicated graphics card or AMD equivalent. OpenGL 2.0 Support or better,9.0c,Windows XP with SP3 / Vista / 7,,1
Aces of the Galaxy,Pentium(R) 4 2.0 GHz or AMD(R) equivalent,512 MB of RAM for Windows(R) XP or 1 GB of RAM for Windows Vista(TM),9.0c-compatible video card with 128 MB RAM,DirectX® 9.0c,Windows Vista/XP,120 MB free uncompressed hard drive space,0
Achilles: Legends Untold,AMD Ryzen™ 3 1200 / Intel® Core™ i3-8100,8 GB RAM,NVIDIA® GeForce® GTX 1050 4GB / AMD Radeon™ RX 560 4GB,Version 12,"Windows 10, 64-bit",30 GB available space,0
Achilles: Legends Untold,AMD Ryzen™ 5 2600X / Intel® Core™ i5-8400,16 GB RAM,NVIDIA® GeForce® GTX 1660 6GB / AMD Radeon™ RX 580,Version 12,"Windows 10, 64-bit",30 GB available space,1
Achtung Panzer: Kharkov 1943,AMD Athlon x2 4200+ Intel Pentium D 3GHz,1 GB RAM,ATI Radeon x1600 256 Mb nVidia GeForce 7600 256 MB video card,DirectX® 9.0c,Windows XP SP2/Vista,2.6 GB hard disk space,0
Act of Aggression,AMD/INTEL DUAL-CORE 2.5 GHZ,2048 MB RAM,512 MB 100% DIRECTX 10 COMPATIBLE AMD RADEON HD 4870/NVIDIA GEFORCE 9800 GT OR HIGHER,10,WINDOWS VISTA/WINDOWS 7/WINDOWS 8,15 GB available space,0
Act of Aggression,AMD/INTEL QUAD-CORE 3 GHZ,4096 MB RAM,2 GB 100% DIRECTX 11 COMPATIBLE AMD RADEON HD 7870/NVIDIA GEFORCE 660 OR HIGHER,11,WINDOWS VISTA/WINDOWS 7/WINDOWS 8,15 GB available space,1
Act of War: Direct Action,Pentium® III 1.5 GHz,256 MB RAM,Windows® 98/SE/Me/2000/XP-compatible 64 MB SVGA with hardware T&L;,DirectX® version 9.0c (included) or higher,Windows® 98/SE/Me/2000/XP,1.4 GB Free,0
