cpu,mainboard,ram,gpu,case,power,cooler,ssd,sys_cooler
18039269,18652877,18911780,19772036,18419840,20662874,,7136788,
18640319,16427084,19566122,20274611,19672418,18477077,,8034664,
16101353,16094585,11790199,20308373,16144583,11247363,,7136788,
18039269,18652871,18911771,20312969,15808484,12487214,,7136788,
18640319,18652871,18911780,20308373,16900727,16237661,,13161338,
19174415,17971181,16443341,18108812,16301510,18901058,,15022826,
18039374,18652877,17001209,17022707,17407550,15429287,20360642,13538642,
18038831,16427084,18911780,19781519,19073519,13934357,,13276568,
18640379,18167699,18911780,18686546,12969350,18442058,12447437,17454683,
19627808,17926784,18911780,18668606,5718431,18442058,19306217,16587443,
18640379,18652877,18911780,19702460,17780918,13168653,18714860,18297722,
19627808,17971181,19390859,18670235,16542008,20057990,,17000984,
18640379,18652877,18911780,20312741,5633207,12400844,10900926,12339347,
18039512,18652871,15764342,19755191,18419840,13934516,,7136788,
18039356,18261245,20644043,14448719,11884168,13934357,,13161338,
18640280,18663323,18911780,19771712,18147938,13934516,,7136788,
18718496,18652877,20644043,20723405,10423167,13934516,,7136788,
18640280,16083650,11541857,18713942,10423167,13934357,,13276568,
18718538,20391572,20369066,19773899,17747885,9782097,19690001,17788487,
18039356,19903640,18911780,17347271,16900727,13854197,9964230,7136755,
18039374,20317796,20644043,19047491,17407550,13934516,,13276568,
18718496,18044519,18486497,19047491,8173504,11242917,,7136788,
18039569,18167699,20644043,19017281,18419840,17853017,,13538642,
19627808,17970548,20546684,20592260,18564128,27527396,,17001050,
18640379,18652877,18883523,19644539,18788681,13934516,,13276304,
18640379,18652865,16193474,18686546,11884168,12487301,,7136788,
18640379,18652601,20644043,19644539,16900748,19814027,,13538642,
18039374,19772786,19566335,18686444,11884207,10448835,,17001050,
19174415,17926763,20644043,9790371,17409059,12487301,,13190630,
17913311,20391572,16443341,19060016,18564128,18477077,,17001050,
18718496,19673600,18767360,19644539,17192498,20628194,,17001050,
15594446,18781991,18911780,21444533,11884207,16567229,,13276568,
18718538,18021491,15759071,12822224,13552679,9431529,18075779,13190573,
18055820,13562387,13432970,13596899,9822756,13168653,5468657,14803400,
18718631,17926781,20644043,17973179,15025229,19023932,,20600144,
11021130,5857774,8607236,9909333,18419840,17538716,,14905265,
16741349,11574341,11790199,18307451,11884168,18442058,18076145,13190573,
18039512,18060350,18911780,18669413,20255534,20628194,,13161338,
19627808,17971184,20369126,19781723,17136002,20662490,,17001050,
18640379,18060350,18911780,15754070,20723090,20628194,,14905265,
17913311,20324882,20644043,20441837,11884207,12487214,,17000984,
18039356,18652877,19539860,20312969,14705840,13934516,,17706038,
17913863,17971253,15759071,13612532,17747885,12487301,,13161338,
18039374,18652877,16443341,20441837,16542008,13934516,,7136788,
18640379,16153055,11790199,14837663,11884207,12487337,,13190573,
18640280,18652871,18911780,20274764,16542008,20009693,,12339347,
18039356,18652877,18134999,19773899,11479695,13975994,11881387,17454683,
18039356,16084070,11790199,20740013,16900727,18503468,14110475,13161338,
18039374,18649997,18911780,20308373,18788645,18503426,,,
18039356,18652871,20644043,17973020,17015456,20275859,,13190630,
19627457,17971181,16193474,18686444,11884207,9564369,,13538642,
19627808,17971187,18883523,18686444,17976368,18477077,,17001050,
18640379,19536062,18911780,20502104,18419840,19961321,,8034664,
16101581,16088780,11790199,14461811,16571885,10448835,18075779,17454683,
18640379,18652877,18911780,14406062,18788645,9431634,16195334,17454767,
18640280,16084070,13151036,13512254,11884207,16342190,,13276568,
16741349,11574545,11790199,12822224,5633207,11650160,18075779,13161338,
18640379,18652877,18911780,20739584,20220176,12487214,,14905265,
21694499,20324882,15879230,20308373,18419840,12487214,,7136788,
14927759,11574545,11790199,19773293,13381634,18872015,,7136788,
18039374,18652877,15759071,20205068,15122126,16342190,,13276568,
18039569,18059849,16193474,13463144,21583037,13934516,,17000984,
17913863,17926772,18146438,17972810,11884168,19840346,2996635,14803400,
18640379,18060395,18911780,19773158,17783126,9431634,10467378,17454683,
18039356,18054803,16443341,18682472,18419840,25098770,,13538642,
18039356,18652877,16443341,20592260,21583046,21206702,,14905265,
18039356,18599705,16193474,20722934,18108902,21206702,,17001050,
18039374,19498640,15764342,19756598,17359220,18901058,,13276568,
18039269,18652877,18911780,19773293,17409059,12487214,,7136788,
18640319,18652871,20369066,20301677,11884168,9782097,,17001083,
17913710,17971184,27545627,20297981,20255537,13934516,,8034664,
18039374,18167699,20644043,18108812,18419840,13148819,,17000984,
18640442,18652877,15759071,18686546,16900727,13854197,14110475,13161353,
18640442,18054803,15759071,18307451,18539024,19814027,,16587515,
19627808,18021581,18767360,18686444,7335787,12487214,,13538642,
16101581,15615839,15759071,17982335,15894419,13168653,16862534,17454683,
18039374,18652871,18911780,19644539,18788681,20480564,,13276304,
16741349,11574341,11541857,18307451,16571885,18442058,18076145,17454683,
18640379,18652880,11541857,18686444,11884207,18442058,10467378,7136788,
18640379,18652877,18911780,18686546,12969350,18442058,18076145,17454683,
15594638,15618923,11790199,14741900,11540768,10448835,14219342,17454683,
18039374,18652877,18911780,20274764,17409059,12487214,,13161353,
21694499,20324882,18767360,20274764,18053684,13934357,,13276568,
21694499,21400361,18911780,20312969,13381619,18503468,,13161338,
18640205,18651431,20369126,13612532,10423167,18872015,17002862,11283222,
18039569,18052667,20644043,17980988,10958634,17870129,9964230,14803400,
18640379,18652877,16443404,18894068,18788681,18442058,16195031,17001050,
19174415,17926784,18911780,17982335,17334425,9817428,10467378,18297722,
18039269,18652871,18911780,20274611,16900727,13934357,,17001050,
18718481,19673600,18911780,18686444,18449441,20480564,,7136788,
21694499,20324882,18767360,18763670,11884168,12487214,,7136788,
18039269,18652877,18911780,13463144,20723090,8558654,,12339347,
18640319,19356875,11790199,19773293,20379776,11247363,,13276568,
16101353,16089002,11790199,20274611,20255534,13934357,,12339347,
18640280,16637543,18911780,18790985,14705840,9782097,10900926,13562714,
18039356,18652871,20644043,19702460,24138818,20628194,,13562645,
15594446,18918575,20644043,20301020,14705840,13934516,,12339347,
19627934,19827944,18767360,19644539,16542008,20628194,,13190630,
18640379,18652877,20369126,19773158,18212909,13934357,19690001,13161338,
18640379,18652877,18911780,18303401,17747885,18442058,17743070,17454683,
19627808,19827572,17770829,21629063,17387444,20628194,,13538642,
18640397,18652877,18911780,20274764,12192788,15786305,,17001050,
16741349,11574545,11790199,14461811,11884168,10448835,15245648,17454683,
18039269,18652871,20369066,20297981,21583046,16342190,,13161338,
18038831,18421946,20356421,20145302,18146642,20628194,,13161338,
17913311,17971184,18911780,20274611,18922913,12487301,,7136788,
18039374,18652877,18911780,,13446017,18872015,,13190630,
15594701,16089554,11790199,14934254,13384469,12487214,,13562693,
18640379,16084070,11790199,20740013,3471240,13934516,14110475,13161353,
18039569,18167699,17139326,17980988,12681041,17870129,19864532,8034664,
19627808,18021581,18911780,19644539,11884168,12487301,,17001050,
18038831,18652871,17535839,18686546,18419840,12487301,,8034664,
17913311,21421541,18911780,19781723,18419840,13934516,,13161338,
16741349,11574545,11790199,14741900,15110762,11650160,18075779,5734544,
16741349,11574545,11541857,13512254,16900748,18503468,18076082,13190573,
16101353,16083650,11790199,18767216,11884207,14677028,,14905301,
21694499,20140877,18965774,20274764,10006971,5158596,,13276568,
18039374,18054881,17770829,19102883,18538994,18901058,,13276568,
18640379,18649997,17770829,19756001,17192498,17145053,,13161338,
17913863,18044519,15759071,18668606,11884207,16237661,,13276568,
18039356,18652871,18911780,19772036,11884168,13934516,,7136788,
18640379,15693545,18911780,14719271,5633207,12400844,13342367,13190519,
17913311,18021662,18911780,20312969,14705840,13934357,,17001050,
19627808,19827572,20369066,18686546,16542008,20628194,,14905214,
18640379,16088780,11790199,14837663,11884168,20628194,,7136788,
12836186,12067598,11541857,14444705,16437569,11242917,16862354,12339347,
18039569,18652865,19566335,20502104,11884168,12487301,,15022826,
16101326,16083650,11541857,919975,12572462,18503426,17743070,13161353,
19627934,21628184,20369126,19511543,11884207,20315813,,13276568,
19627601,18021581,20644043,17982392,17359157,20662874,,17000984,
18039374,18167699,17770829,19702460,19636997,19451888,,17001050,
19627808,19691621,18911780,18780494,18538994,18213719,17024672,17454683,
19627808,17971187,16193474,18302282,18419840,18901058,,17001050,
18640379,18652865,16193474,18686444,17976368,19961321,,13538642,
18169268,18651506,19539911,19774208,15823055,12487214,,17706038,
19174415,17971598,17535647,18307874,11884168,13168653,19864532,17000984,
21694499,19936247,18911771,20739584,14705840,12400646,17658305,17454767,
19627808,17971187,20644043,17973179,17747885,20663186,,15022826,
18039356,18652871,15759071,13463144,16900727,16200560,15675176,18297002,
18640379,18652865,18911780,18686444,18538994,19023893,,7136788,
18640379,18652877,20644043,19781723,11884168,13934516,,13161338,
18038831,19536062,20369126,19321601,19672418,13934357,,14905265,
16741349,11574545,11541857,15129071,16541294,18503426,18076082,17454767,
18640379,18652877,20644043,15422960,11884207,9782097,,13276568,
15594638,16088780,11541857,14776451,16571885,9431529,15245648,17454767,
16101353,16301447,11790199,14448719,18212909,13934357,,13161338,
,,20369126,14853878,14705840,13934357,,14905265,
19174415,17971181,16443341,18108812,16301510,18901058,,,
19627934,20391572,16443341,20575781,11884207,9782097,,13276304,
18039374,18060350,20369066,13512254,20723090,13934357,,17001050,
18039374,18651506,18911780,20308373,18449441,19814027,,17001050,
21694499,20238110,20369066,19773293,10423167,16200479,,14905214,
18640379,18652877,18911780,14719271,16900727,18872015,10900926,5734544,
12622091,11571368,11028636,14718956,17192498,13934516,,12339347,
16741349,11574545,11790199,15129071,18788645,18503426,18075779,15796520,
15594638,16088780,11541857,14776451,16571885,9431529,15245648,17454767,
18640442,18646550,16867427,17982335,12681023,19921292,18714860,13190573,
