name,price,link,company,product_seq,image,form_factor,interface,protocol,volume,memory_type,nand,ram_type,ram_mounted,sequential_read,sequential_write,read_iops,write_iops,heatsink,rgbled,as_year,support_option,reg_date,bookmark
ADATA XPG SX8100 M.2 NVMe,135260.0,https://prod.danawa.com/info/?pcode=11127408&cate=112760,ADATA,11127408,//img.danawa.com/prod_img/500000/408/127/img/11127408_1.jpg?shrink=330:*&_v=20200513163821,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,1TB,,3D낸드,,DRAM 탑재,"3,500","3,000",nan,nan,0,0,5,4,202004,
TeamGroup GX2 SMI,13000.0,https://prod.danawa.com/info/?pcode=13459769&cate=112760,TeamGroup,13459769,//img.danawa.com/prod_img/500000/769/459/img/13459769_1.jpg?shrink=330:*&_v=20210225133320,6.4cm(2.5형),SATA3 (6Gb/s),,128GB,,3D낸드,,,500,320,nan,nan,0,0,3,59,202102,
Seagate 바라쿠다 Q1 SSD,85000.0,https://prod.danawa.com/info/?pcode=11293893&cate=112760,Seagate,11293893,//img.danawa.com/prod_img/500000/893/293/img/11293893_1.jpg?shrink=330:*&_v=20210602163416,6.4cm(2.5형),SATA3 (6Gb/s),,960GB,QLC,3D낸드,,,550,500,61,86,0,0,3,45,202005,
TeamGroup MP34 M.2 NVMe,191040.0,https://prod.danawa.com/info/?pcode=8539784&cate=112760,TeamGroup,8539784,//img.danawa.com/prod_img/500000/784/539/img/8539784_1.jpg?shrink=330:*&_v=20200513164528,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,,"3,000","2,600",450,400,0,0,5,43,201907,
GIGABYTE UD PRO 제이씨현,76570.0,https://prod.danawa.com/info/?pcode=6340985&cate=112760,GIGABYTE,6340985,//img.danawa.com/prod_img/500000/985/340/img/6340985_1.jpg?shrink=330:*&_v=20190410121758,6.4cm(2.5형),SATA3 (6Gb/s),,256GB,TLC(기타),3D낸드,,DRAM 탑재,530,500,70,40,0,0,3,9,201807,
BIOSTAR S100 Series,38500.0,https://prod.danawa.com/info/?pcode=4832561&cate=112760,BIOSTAR,4832561,//img.danawa.com/prod_img/500000/561/832/img/4832561_1.jpg?shrink=330:*&_v=20201016125857,6.4cm(2.5형),SATA3 (6Gb/s),,240GB,TLC(기타),3D낸드,,,530,410,nan,nan,0,0,3,57,201701,
ADATA XPG GAMMIX S11 PRO M.2 NVMe,28540.0,https://prod.danawa.com/info/?pcode=7176094&cate=112760,ADATA,7176094,//img.danawa.com/prod_img/500000/094/176/img/7176094_1.jpg?shrink=330:*&_v=20201019184108,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,512GB,TLC(기타),3D낸드,,,"3,500","2,350",390,380,0,0,5,36,201902,
Seagate 파이어쿠다 120 SSD,148860.0,https://prod.danawa.com/info/?pcode=11401428&cate=112760,Seagate,11401428,//img.danawa.com/prod_img/500000/428/401/img/11401428_1.jpg?shrink=330:*&_v=20201120184103,6.4cm(2.5형),SATA3 (6Gb/s),,500GB,TLC(기타),3D낸드,DDR3L 512MB,DRAM 탑재,560,540,100,90,0,0,5,11,202005,
타무즈 RX470,91750.0,https://prod.danawa.com/info/?pcode=4755995&cate=112760,타무즈,4755995,//img.danawa.com/prod_img/500000/995/755/img/4755995_1.jpg?shrink=330:*&_v=20190410121926,6.4cm(2.5형),SATA3 (6Gb/s),,120GB,TLC(토글),2D낸드,,DRAM 탑재,510,400,nan,nan,0,0,3,6,201612,
Western Digital WD SN530 M.2 NVMe,45000.0,https://prod.danawa.com/info/?pcode=13230500&cate=112760,Western Digital,13230500,//img.danawa.com/prod_img/500000/500/230/img/13230500_1.jpg?shrink=330:*&_v=20210202154335,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.4,256GB,,3D낸드,,,"2,400",950,170,120,0,0,nan,0,202101,
TeamGroup T-Force CARDEA ZERO Z440 M.2 NVMe,241300.0,https://prod.danawa.com/info/?pcode=14409281&cate=112760,TeamGroup,14409281,//img.danawa.com/prod_img/500000/281/409/img/14409281_1.jpg?shrink=330:*&_v=20230116173654,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,2TB,,3D낸드,확인요망,DRAM 탑재,"5,000","4,400",750,750,0,0,5,3,202106,
마이크론 Crucial P1 M.2 NVMe 대원씨티에스,72000.0,https://prod.danawa.com/info/?pcode=6538923&cate=112760,마이크론 Crucial,6538923,//img.danawa.com/prod_img/500000/923/538/img/6538923_1.jpg?shrink=330:*&_v=20220712095826,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,500GB,QLC,3D낸드,,,"1,800",950,90,220,0,0,5,45,201810,
갤럭시 GALAX GAMER L,87390.0,https://prod.danawa.com/info/?pcode=9691128&cate=112760,갤럭시,9691128,//img.danawa.com/prod_img/500000/128/691/img/9691128_1.jpg?shrink=330:*&_v=20191017091436,6.4cm(2.5형),SATA3 (6Gb/s),,480GB,QLC,3D낸드,,,560,515,nan,nan,0,0,3,1,201910,
GIGABYTE GP-GSM2NE3 M.2 NVMe 피씨디렉트,33000.0,https://prod.danawa.com/info/?pcode=9626655&cate=112760,GIGABYTE,9626655,//img.danawa.com/prod_img/500000/655/626/img/9626655_1.jpg?shrink=330:*&_v=20220323152258,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,256GB,TLC(기타),,,,"1,700","1,100",180,250,0,0,5,73,201910,
