name,price,link,company,product_seq,image,category,rated_power,80plus_certification,eta_certification,lambda_certification,voltage_fluctuation,output_method,availability,pfc_circuit,pf_factor,fan_size,fan_number,bearing,output_12v,cable_connection,depth,main_power,sub_power,pcie_16pin,pcie_8pin,pcie_6pin,sata,ide_4,rgb_connector,feature,inside,protection,as_years,reg_date,bookmark
마이크로닉스 SG-400D12S 벌크,24900.0,https://prod.danawa.com/info/?pcode=16026650&cate=112777,마이크로닉스,16026650,//img.danawa.com/prod_img/500000/650/026/img/16026650_1.jpg?shrink=330:*&_v=20220524131317,ATX 파워,400,80 PLUS 스탠다드,,,,,,액티브PFC,99.0,120.0,1,HDB/HYB,"17, 18",케이블일체형,150,24핀(20+4),8핀(4+4) 1개,,,1.0,5,1.0,,8,2,43,2,202112,
아이구주 TITAN SC-700 80PLUS STANDARD 230V EU,64690.0,https://prod.danawa.com/info/?pcode=15035138&cate=112777,아이구주,15035138,//img.danawa.com/prod_img/500000/138/035/img/15035138_1.jpg?shrink=330:*&_v=20220526093626,ATX 파워,700,80 PLUS 스탠다드,,,,+12V 싱글레일,92.0,액티브PFC,99.0,120.0,1,2볼,54,케이블일체형,140,24핀(20+4),8+4+4핀 1개,,4.0,,5,4.0,,10,2,43,7,202108,
에너지옵티머스 EXCEL CLASSIC 800W 80PLUS BRONZE 230V EU,63000.0,https://prod.danawa.com/info/?pcode=18307490&cate=112777,에너지옵티머스,18307490,//img.danawa.com/prod_img/500000/490/307/img/18307490_1.jpg?shrink=330:*&_v=20221117103826,ATX 파워,800,80 PLUS 브론즈,,,,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,HDB/HYB,66.7,케이블일체형,140,24핀(20+4),8핀(4+4) 2개,,4.0,,8,4.0,,8,6,63,7,202211,
SuperFlower SF-750P14XE Legion GX PRO GOLD,116950.0,https://prod.danawa.com/info/?pcode=14724467&cate=112777,SuperFlower,14724467,//img.danawa.com/prod_img/500000/467/724/img/14724467_1.jpg?shrink=330:*&_v=20230316075403,ATX 파워,750,80 PLUS 골드,,,,,,,,,,FDB(유체),62,세미모듈러,,24핀(20+4),8핀(4+4) 2개,,4.0,,9,4.0,,16,6,639,7,202107,
NEWZEN SKULL 750SM MODULAR ATX 3.0 80PLUS GOLD (PCIE5),113210.0,https://prod.danawa.com/info/?pcode=24714023&cate=112777,NEWZEN,24714023,//img.danawa.com/prod_img/500000/023/714/img/24714023_1.jpg?shrink=330:*&_v=20230731173127,ATX 파워,750,80 PLUS 골드,,,1.0,+12V 싱글레일,100.0,액티브PFC,,120.0,1,HDB/HYB,62.5,세미모듈러,140,24핀(20+4),8핀(4+4) 2개,1.0,2.0,,6,3.0,,50,6,639,10,202307,
darkFlash UPMOST 850W 80PLUS GOLD FULL MODULAR 블랙,136860.0,https://prod.danawa.com/info/?pcode=19814000&cate=112777,darkFlash,19814000,//img.danawa.com/prod_img/500000/000/814/img/19814000_1.jpg?shrink=330:*&_v=20230427105750,ATX 파워,850,80 PLUS 골드,,,,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,FDB(유체),70.5,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,,3.0,,8,4.0,,49,6,63,10,202304,
앱코 SETTLER-II ST-800S 80PLUS STANDARD,68000.0,https://prod.danawa.com/info/?pcode=19548806&cate=112777,앱코,19548806,//img.danawa.com/prod_img/500000/806/548/img/19548806_1.jpg?shrink=330:*&_v=20230329125725,ATX 파워,800,80 PLUS 스탠다드,,,,+12V 싱글레일,87.0,액티브PFC,99.0,120.0,1,,58,케이블일체형,140,24핀(20+4),8핀(4+4) 2개,,6.0,,7,3.0,,40,2,47,6,202303,
AONE STORM 500LF 더블포워드 V2.3,30500.0,https://prod.danawa.com/info/?pcode=4801762&cate=112777,AONE,4801762,//img.danawa.com/prod_img/500000/762/801/img/4801762_1.jpg?shrink=330:*&_v=20230831125639,ATX 파워,500,,,,,+12V 다중레일,,,,120.0,1,,38,케이블일체형,,24핀(20+4),8핀(4+4) 1개,,2.0,,5,4.0,,10,0,43,3,201701,
잘만 Wattbit II 400W,35900.0,https://prod.danawa.com/info/?pcode=12023885&cate=112777,잘만,12023885,//img.danawa.com/prod_img/500000/885/023/img/12023885_1.jpg?shrink=330:*&_v=20210107163228,ATX 파워,400,,,,,+12V 싱글레일,90.0,,,120.0,1,,30,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,4,3.0,,8,2,43,3,202008,
잘만 MegaMax 500W 80PLUS STANDARD,49480.0,https://prod.danawa.com/info/?pcode=10174137&cate=112777,잘만,10174137,//img.danawa.com/prod_img/500000/137/174/img/10174137_1.jpg?shrink=330:*&_v=20220722162958,ATX 파워,500,80 PLUS 스탠다드,,,,+12V 싱글레일,90.0,액티브PFC,98.0,120.0,1,HDB/HYB,37.5,케이블일체형,140,24핀(20+4),8(4+4)+4핀 1개,,2.0,,6,3.0,,42,2,43,6,201912,
CORSAIR RM850 2021 80PLUS GOLD 화이트,198980.0,https://prod.danawa.com/info/?pcode=14677298&cate=112777,CORSAIR,14677298,//img.danawa.com/prod_img/500000/298/677/img/14677298_1.jpg?shrink=330:*&_v=20210707163001,ATX 파워,850,80 PLUS 골드,,,,+12V 싱글레일,99.0,,,140.0,1,,70.8,풀모듈러,160,24핀(20+4),8핀(4+4) 3개,,4.0,,14,4.0,,18,2,0,10,202107,
잘만 MegaMax ET 500W 80PLUS STANDARD,46000.0,https://prod.danawa.com/info/?pcode=17121881&cate=112777,잘만,17121881,//img.danawa.com/prod_img/500000/881/121/img/17121881_1.jpg?shrink=330:*&_v=20220701171107,ATX 파워,500,80 PLUS 스탠다드,,,,+12V 싱글레일,90.0,액티브PFC,98.0,120.0,1,HDB,37.5,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,6,3.0,,10,0,43,5,202205,
맥스엘리트 MAXWELL PRIMO 700W 80PLUS STANDARD 플랫,62000.0,https://prod.danawa.com/info/?pcode=18503468&cate=112777,맥스엘리트,18503468,//img.danawa.com/prod_img/500000/468/503/img/18503468_1.jpg?shrink=330:*&_v=20230419101439,ATX 파워,700,80 PLUS 스탠다드,,,,+12V 싱글레일,96.0,액티브PFC,95.0,120.0,1,HDB/HYB,54,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,4,2.0,,40,2,379,5,202212,
마이크로닉스 WIZMAX 750W 80PLUS SILVER ATX3.0 (PCIE5),89900.0,https://prod.danawa.com/info/?pcode=20628080&cate=112777,마이크로닉스,20628080,//img.danawa.com/prod_img/500000/080/628/img/20628080_1.jpg?shrink=330:*&_v=20230712124725,ATX 파워,750,80 PLUS 실버,,,0.9,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,HDB,62.5,,140,24핀(20+4),8+4+4핀 1개,1.0,2.0,,6,2.0,,58,6,619,6,202306,
FSP HYDRO G PRO 850W 80PLUS Gold Full Modular ATX 3.0 (PCIE5),187860.0,https://prod.danawa.com/info/?pcode=18477077&cate=112777,FSP,18477077,//img.danawa.com/prod_img/500000/077/477/img/18477077_1.jpg?shrink=330:*&_v=20221212152823,ATX 파워,850,80 PLUS 골드,,,1.0,+12V 싱글레일,100.0,액티브PFC,90.0,120.0,1,FDB(유체),83.33,풀모듈러,150,24핀(20+4) 1개,8핀(4+4) 2개,1.0,6.0,,14,5.0,,63,14,61,10,202212,
BABEL Classic TFX450 V2.3 Blackbel Series,21940.0,https://prod.danawa.com/info/?pcode=2937225&cate=112777,BABEL,2937225,//img.danawa.com/prod_img/500000/225/937/img/2937225_1.jpg?shrink=330:*&_v=20170410133413,TFX 파워,230,,,,,,,,,80.0,1,,12,케이블일체형,,24핀(20+4),,,,,3,3.0,,8,0,0,,201412,
마이크로닉스 Classic II 850W 80PLUS GOLD 230V EU 풀모듈러 화이트,164616.0,https://prod.danawa.com/info/?pcode=15265577&cate=112777,마이크로닉스,15265577,//img.danawa.com/prod_img/500000/577/265/img/15265577_1.jpg?shrink=330:*&_v=20230518133623,ATX 파워,850,80 PLUS 골드,,,0.5,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,FDB(유체),70.8,풀모듈러,140,24핀(20+4),8핀(4+4) 1개,1.0,2.0,,8,4.0,,47,14,63,10,202109,
APC BV1000I-GR,130000.0,https://prod.danawa.com/info/?pcode=17529551&cate=112777,APC,17529551,//img.danawa.com/prod_img/500000/551/529/img/17529551_1.jpg?shrink=330:*&_v=20221020145631,UPS,,,,,,,,,,,,,,,305,,,,,,,,,0,0,0,,202207,
맥스엘리트 MAXWELL COUNT 750W 80PLUS GOLD 풀모듈러 (본체+플랫슬림팩),119000.0,https://prod.danawa.com/info/?pcode=17101994&cate=112777,맥스엘리트,17101994,//img.danawa.com/prod_img/500000/994/101/img/17101994_1.jpg?shrink=330:*&_v=20220523170329,ATX 파워,750,80 PLUS 골드,,,,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,FDB(유체),62 이상,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,,4.0,,8,3.0,,60,14,383,10,202205,
