name,price,link,company,product_seq,image,cpu_socket,chipset,form_factor,memory_type,memory_number,memory_capacity,xmp,expo,sata3_number,m2_number,m2_interface,m2_formfactor,pcie_version,vga_connection,wireless_lan,wired_lan_speed,phase,graphic_output,back_panel,io_header,feature,reg_date,bookmark
ASUS PRIME H310M-K STCOM,115360,https://prod.danawa.com/info/?pcode=6024335&cate=112751,ASUS PRIME,6024335,//img.danawa.com/prod_img/500000/335/024/img/6024335_1.jpg?shrink=330:*&_v=20230710164556,인텔(소켓1151v2),인텔 H310,M-ATX (22.6x18.5cm),DDR4,2,32,1.0,,4,,0,0,2,,0,10.0,4.0,24,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,64,201804,
NZXT N7 Z790 Matte White,698370,https://prod.danawa.com/info/?pcode=18967931&cate=112751,NZXT,18967931,//img.danawa.com/prod_img/500000/931/967/img/18967931_1.jpg?shrink=330:*&_v=20230223154546,인텔(소켓1700),인텔 Z790,ATX (30.5x24.4cm),DDR5,4,128,2.0,1.0,4,3,11,46,28,PCIe5.0 x16,3,25.0,19.0,2,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,2160,75,202302,
MSI MAG B560M 박격포 WIFI,169990,https://prod.danawa.com/info/?pcode=13844039&cate=112751,MSI,13844039,//img.danawa.com/prod_img/500000/039/844/img/13844039_1.jpg?shrink=330:*&_v=20220608135713,인텔(소켓1200),인텔 B560,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,6,2,15,14,12,PCIe4.0 x16,3,25.0,15.0,6,USB 3.2 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,72,202104,
ASRock B760M PG SONIC WiFi D5 디앤디컴,201790,https://prod.danawa.com/info/?pcode=18652196&cate=112751,ASRock,18652196,//img.danawa.com/prod_img/500000/196/652/img/18652196_1.jpg?shrink=330:*&_v=20230105161242,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,128,2.0,,4,3,10,12,24,PCIe5.0 x16,3,25.0,14.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11440,91,202301,
ASRock B760M-HDVP D5 에즈윈,145370,https://prod.danawa.com/info/?pcode=20126900&cate=112751,ASRock,20126900,//img.danawa.com/prod_img/500000/900/126/img/20126900_1.jpg?shrink=330:*&_v=20230511144647,인텔(소켓1700),인텔 B760,M-ATX (24.4x19.8cm),DDR5,2,96,2.0,,4,2,10,12,25,PCIe5.0 x16,0,10.0,9.0,30,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / 시리얼포트,8240,72,202305,
ASRock B760M PG LIGHTNING/D4 디앤디컴,147875,https://prod.danawa.com/info/?pcode=20405063&cate=112751,ASRock,20405063,//img.danawa.com/prod_img/500000/063/405/img/20405063_1.jpg?shrink=330:*&_v=20230602151603,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,10,14,8,PCIe4.0 x16,4,10.0,9.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8193,75,202306,
ASRock B760M PG Riptide D5 디앤디컴,185000,https://prod.danawa.com/info/?pcode=18652586&cate=112751,ASRock,18652586,//img.danawa.com/prod_img/500000/586/652/img/18652586_1.jpg?shrink=330:*&_v=20230105161251,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,128,2.0,,4,2,10,8,8,PCIe4.0 x16,4,25.0,16.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11568,89,202301,
ASRock B650 Pro RS 대원씨티에스,292360,https://prod.danawa.com/info/?pcode=18718829&cate=112751,ASRock,18718829,//img.danawa.com/prod_img/500000/829/718/img/18718829_1.jpg?shrink=330:*&_v=20230110170230,AMD(소켓AM5),AMD B650,ATX (30.5x24.4cm),DDR5,4,128,1.0,1.0,2,3,27,14,12,PCIe4.0 x16,4,25.0,17.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,11377,93,202210,
ASUS TUF Gaming B450M-PRO II STCOM,111240,https://prod.danawa.com/info/?pcode=12629378&cate=112751,ASUS,12629378,//img.danawa.com/prod_img/500000/378/629/img/12629378_1.jpg?shrink=330:*&_v=20230707101444,AMD(소켓AM4),AMD B450,M-ATX (24.4x24.4cm),DDR4,4,128,,,4,2,7,14,6,PCIe3.0 x16,0,10.0,,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,80,202011,
ASUS ROG STRIX Z790-F GAMING WIFI STCOM,583340,https://prod.danawa.com/info/?pcode=18059516&cate=112751,ASUS,18059516,//img.danawa.com/prod_img/500000/516/059/img/18059516_1.jpg?shrink=330:*&_v=20221020220004,인텔(소켓1700),인텔 Z790,ATX (30.5x24.4cm),DDR5,4,128,1.0,,4,4,11,46,28,PCIe5.0 x16,3,25.0,17.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3188,89,202210,
