name,price,link,company,product_seq,image,category,cooling_type,aircool_form,tdp,intel_socket,amd_socket,fan_size,fan_count,airflow,noise,width,length,height,radiator,radiator_length,radiator_thickness,hose_length,feature,as_years,reg_date,bookmark
Thermalright FROST TOWER 120,83100.0,https://prod.danawa.com/info/?pcode=18764267&cate=11236855,Thermalright,18764267,//img.danawa.com/prod_img/500000/267/764/img/18764267_1.jpg?shrink=330:*&_v=20230116101313,CPU 쿨러,0.0,1.0,,423,3,120,2,82,29.6,125.0,,154,,,,,2,6,202301,
써멀테이크 TOUGHLIQUID Ultra 420,328000.0,https://prod.danawa.com/info/?pcode=19617638&cate=11236855,써멀테이크,19617638,//img.danawa.com/prod_img/500000/638/617/img/19617638_1.jpg?shrink=330:*&_v=20230404111556,CPU 쿨러,1.0,,,167,7,140,3,119.1,33.2,,,,3.0,456,27,460,195,6,202304,
다산코퍼레이션 디프렌드 ODIN DA-613 ARGB,31000.0,https://prod.danawa.com/info/?pcode=20646221&cate=11236855,다산코퍼레이션,20646221,//img.danawa.com/prod_img/500000/221/646/img/20646221_1.jpg?shrink=330:*&_v=20230622134614,CPU 쿨러,0.0,0.0,220,7,3,130,1,83.21,33.2,130.0,,158,,,,,3,2,202306,
케이스 쿨링팬,1720.0,https://prod.danawa.com/info/?pcode=14749901&cate=11236855,,14749901,//img.danawa.com/prod_img/500000/901/749/img/14749901_1.jpg?shrink=330:*&_v=20210715111603,시스템 쿨러,,,,0,0,,,,,,,,,,,,0,,202107,
써멀테이크 TOUGHLIQUID 360 ARGB Sync,170195.0,https://prod.danawa.com/info/?pcode=14234528&cate=11236855,써멀테이크,14234528,//img.danawa.com/prod_img/500000/528/234/img/14234528_1.jpg?shrink=330:*&_v=20230321174300,CPU 쿨러,1.0,,,935,7,120,3,58.35,22.3,,,,3.0,395,27,400,71,6,202105,
NOCTUA NH-U14S DX-4677,203290.0,https://prod.danawa.com/info/?pcode=27890018&cate=11236855,NOCTUA,27890018,//img.danawa.com/prod_img/500000/018/890/img/27890018_1.jpg?shrink=330:*&_v=20230830140230,CPU 쿨러,0.0,1.0,,8,0,140,2,82.51,24.6,165.0,,150,,,,,2,,202308,
COOLERTEC USB 12025 CLG1,6960.0,https://prod.danawa.com/info/?pcode=5304248&cate=11236855,COOLERTEC,5304248,//img.danawa.com/prod_img/500000/248/304/img/5304248_1.jpg?shrink=330:*&_v=20170710162140,시스템 쿨러,,,,0,0,120,1,58.6,19,,,,,,,,0,,201707,
CORSAIR H100x RGB ELITE,148150.0,https://prod.danawa.com/info/?pcode=18949070&cate=11236855,CORSAIR,18949070,//img.danawa.com/prod_img/500000/070/949/img/18949070_1.jpg?shrink=330:*&_v=20230207091452,CPU 쿨러,1.0,,,423,3,120,2,47.73,28,,,,2.0,277,27,380,1027,5,202302,
조이쿨 MCJ-1700/1200 알루미늄,4300.0,https://prod.danawa.com/info/?pcode=17688773&cate=11236855,조이쿨,17688773,//img.danawa.com/prod_img/500000/773/688/img/17688773_1.jpg?shrink=330:*&_v=20220819132405,CPU 쿨러,0.0,3.0,65,7,0,90,1,38.62,25.6,95.0,,45,,,,,0,,202208,
COOLERTEC OW5010DFS-2P,5020.0,https://prod.danawa.com/info/?pcode=2962836&cate=11236855,COOLERTEC,2962836,//img.danawa.com/prod_img/500000/836/962/img/2962836_1.jpg?shrink=330:*&_v=20150120153332,시스템 쿨러,,,,0,0,50,1,7.8,16.5,,,,,,,,0,,201501,
Thermalright M.2 2280 PRO HEATSINK,15550.0,https://prod.danawa.com/info/?pcode=12342401&cate=11236855,Thermalright,12342401,//img.danawa.com/prod_img/500000/401/342/img/12342401_1.jpg?shrink=330:*&_v=20221026143417,M.2 SSD 쿨러,,,,0,0,,,,,75.0,22.0,,,,,,0,,202009,
