name,price,link,company,product_seq,image,size,capacity,interface,rpm,transfer_rate,buffer_capacity,recording_method,thickness,as_years,reg_date,bookmark
"Seagate Constellation ES 7200/64M (ST1000NM0011, 1TB)",,https://prod.danawa.com/info/?pcode=1517797&cate=112763,Seagate,1517797,//img.danawa.com/prod_img/500000/797/517/img/1517797_1.jpg?shrink=330:*&_v=20200529093845,8.9,1024.0,SATA3(6Gb/s),7200,,64.0,,26.1,,201110,
"Seagate BarraCuda 7200.12 7200/16M (ST3500413AS, 500GB)",,https://prod.danawa.com/info/?pcode=1304447&cate=112763,Seagate,1304447,//img.danawa.com/prod_img/500000/447/304/img/1304447_1.jpg?shrink=330:*&_v=20200528093635,8.9,500.0,SATA3(6Gb/s),7200,,16.0,,20.0,,201102,
"Seagate BarraCuda ES.2 SATA2/7200/32M (ST31000340NS, 1TB)",,https://prod.danawa.com/info/?pcode=758195&cate=112763,Seagate,758195,//img.danawa.com/prod_img/500000/195/758/img/758195_1.jpg?shrink=330:*&_v=20200528093644,8.9,1024.0,SATA2(3Gb/s),7200,,32.0,,26.1,,200810,
"Seagate BarraCuda 7200.11 SATA2/7200/16M (ST3320613AS, 320GB)",,https://prod.danawa.com/info/?pcode=652901&cate=112763,Seagate,652901,//img.danawa.com/prod_img/500000/901/652/img/652901_1.jpg?shrink=330:*&_v=20200528093649,8.9,320.0,SATA2(3Gb/s),7200,,16.0,,20.0,,200804,
"Seagate BarraCuda LP SATA2/5900/32M (ST31000520AS, 1TB)",,https://prod.danawa.com/info/?pcode=937230&cate=112763,Seagate,937230,//img.danawa.com/prod_img/500000/230/937/img/937230_1.jpg?shrink=330:*&_v=20200528093640,8.9,1024.0,SATA2(3Gb/s),5900,,32.0,,26.1,,200909,
"Seagate BarraCuda 7200.10 SATA2/7200/8M/슬림 (ST380815AS, 80GB)",,https://prod.danawa.com/info/?pcode=671700&cate=112763,Seagate,671700,//img.danawa.com/prod_img/500000/700/671/img/671700_1.jpg?shrink=330:*&_v=20200528093649,8.9,80.0,SATA2(3Gb/s),7200,,8.0,,20.0,,200806,
"Seagate SV35 7200/64M (ST1000VX000, 1TB)",,https://prod.danawa.com/info/?pcode=4519020&cate=112763,Seagate,4519020,//img.danawa.com/prod_img/500000/020/519/img/4519020_1.jpg?shrink=330:*&_v=20200529163940,8.9,1024.0,SATA3 (6Gb/s),7200,,64.0,,20.0,,201610,
"Seagate Surveillance 7200/256M (ST8000VX0002, 8TB)",,https://prod.danawa.com/info/?pcode=3749640&cate=112763,Seagate,3749640,//img.danawa.com/prod_img/500000/640/749/img/3749640_1.jpg?shrink=330:*&_v=20200529095625,8.9,8192.0,SATA3(6Gb/s),7200,,256.0,,26.1,,201602,
"Seagate Desktop HDD 7200/128M (ST6000DM001, 6TB)",,https://prod.danawa.com/info/?pcode=3515477&cate=112763,Seagate,3515477,//img.danawa.com/prod_img/500000/477/515/img/3515477_1.jpg?shrink=330:*&_v=20200528173228,8.9,6144.0,SATA3(6Gb/s),7200,,128.0,,26.1,,201510,
"Seagate BarraCuda 7200.12 7200/8M (ST3160316AS, 160GB)",,https://prod.danawa.com/info/?pcode=1383836&cate=112763,Seagate,1383836,//img.danawa.com/prod_img/500000/836/383/img/1383836_1.jpg?shrink=330:*&_v=20200528093633,8.9,160.0,SATA3(6Gb/s),7200,,8.0,,20.0,,201106,
"Seagate BarraCuda Green SATA2/5900/32M (ST32000542AS, 2TB)",176670.0,https://prod.danawa.com/info/?pcode=924372&cate=112763,Seagate,924372,//img.danawa.com/prod_img/500000/372/924/img/924372_1.jpg?shrink=330:*&_v=20200528093640,8.9,2048.0,SATA2(3Gb/s),5900,,32.0,,26.1,,200908,
"Seagate BarraCuda 7200.10 SATA2 /7200/8M/슬림 (ST3160815AS, 160GB)",,https://prod.danawa.com/info/?pcode=671683&cate=112763,Seagate,671683,//img.danawa.com/prod_img/500000/683/671/img/671683_1.jpg?shrink=330:*&_v=20200528093649,8.9,160.0,SATA2(3Gb/s),7200,,8.0,,20.0,,200806,
"Seagate BarraCuda 7200.9 EIDE/7200/16M (ST3400633A, 400GB)",,https://prod.danawa.com/info/?pcode=432194&cate=112763,Seagate,432194,//img.danawa.com/prod_img/large/group_864/432194_1.jpg?shrink=330:*&_v=20200528093654,8.9,400.0,E-IDE,7200,,16.0,,26.1,,200702,
"Seagate BarraCuda 7200.12 7200/8M/슬림 (ST3250312AS, 250GB)",,https://prod.danawa.com/info/?pcode=1440500&cate=112763,Seagate,1440500,//img.danawa.com/prod_img/500000/500/440/img/1440500_1.jpg?shrink=330:*&_v=20200528093632,8.9,250.0,SATA3(6Gb/s),7200,,8.0,,20.0,,201107,
"도시바 DT01 7200/32M (DT01ACA100, 1TB)",42640.0,https://prod.danawa.com/info/?pcode=1713899&cate=112763,도시바,1713899,//img.danawa.com/prod_img/500000/899/713/img/1713899_1.jpg?shrink=330:*&_v=20200528112851,8.9,1024.0,SATA3(6Gb/s),7200,,32.0,,26.1,,201206,
"도시바 X300 Refresh 7200/256M (HDWR480, 8TB)",260560.0,https://prod.danawa.com/info/?pcode=15687542&cate=112763,도시바,15687542,//img.danawa.com/prod_img/500000/542/687/img/15687542_1.jpg?shrink=330:*&_v=20211115141419,8.9,8192.0,SATA3 (6Gb/s),7200,,256.0,0.0,26.1,,202111,
"도시바 DT01 7200/64M (DT01ACA200, 2TB)",59790.0,https://prod.danawa.com/info/?pcode=1790810&cate=112763,도시바,1790810,//img.danawa.com/prod_img/500000/810/790/img/1790810_1.jpg?shrink=330:*&_v=20200528112851,8.9,2048.0,SATA3(6Gb/s),7200,,64.0,,26.1,,201209,
"Seagate BarraCuda 7200/64M/병행수입 (ST1000DM010, 1TB)",56790.0,https://prod.danawa.com/info/?pcode=4989211&cate=112763,Seagate,4989211,//img.danawa.com/prod_img/500000/211/989/img/4989211_1.jpg?shrink=330:*&_v=20230102170809,8.9,1024.0,SATA3 (6Gb/s),7200,,64.0,2.0,,,201703,
"Western Digital WD BLACK 7200/128M (WD8002FZWX, 8TB)",414940.0,https://prod.danawa.com/info/?pcode=18406964&cate=112763,Western Digital WD,18406964,//img.danawa.com/prod_img/500000/964/406/img/18406964_1.jpg?shrink=330:*&_v=20221201134528,8.9,8192.0,SATA3 (6Gb/s),7200,238,128.0,0.0,26.1,,202212,
"Seagate BarraCuda 7200/256M/해외구매 (ST2000DM008, 2TB)",75890.0,https://prod.danawa.com/info/?pcode=7533853&cate=112763,Seagate,7533853,//img.danawa.com/prod_img/500000/853/533/img/7533853_1.jpg?shrink=330:*&_v=20200528093624,8.9,2048.0,SATA3 (6Gb/s),7200,220,256.0,1.0,20.2,,201810,
"도시바 X300 Refresh 7200/256M/해외구매 (HDWR480, 8TB)",,https://prod.danawa.com/info/?pcode=20188826&cate=112763,도시바,20188826,//img.danawa.com/prod_img/500000/826/188/img/20188826_1.jpg?shrink=330:*&_v=20230516154030,8.9,8192.0,SATA3 (6Gb/s),7200,,256.0,0.0,26.1,,202305,
"Western Digital WD Caviar Blue 7200/64M/해외구매 (WD10EZEX, 1TB)",55170.0,https://prod.danawa.com/info/?pcode=2703466&cate=112763,Western Digital WD,2703466,//img.danawa.com/prod_img/500000/466/703/img/2703466_1.jpg?shrink=330:*&_v=20200528100050,8.9,1024.0,SATA3(6Gb/s),7200,,64.0,,,,201302,
"Western Digital WD BLUE 5400/256M/해외구매 (WD60EZAZ, 6TB)",150590.0,https://prod.danawa.com/info/?pcode=14785154&cate=112763,Western Digital WD,14785154,//img.danawa.com/prod_img/500000/154/785/img/14785154_1.jpg?shrink=330:*&_v=20230426171044,8.9,6144.0,SATA3(6Gb/s),5400,180,256.0,1.0,26.1,,201904,
