name,price,link,company,product_seq,image,code,socket,core_number,thread_number,l2_cache,l3_cache,tdp,pbpmtp,has_graphic,graphic_name,graphic_core_speed,memory_capacity,memory_type,memory_clock,memory_channel,pcie_channel_number,pcie_version,has_cooler,clock_basic,clock_max,nm,tech_support,bench_mark,reg_date,bookmark
인텔 펜티엄 G2020,540.0,https://prod.danawa.com/info/?pcode=15833633&cate=112747,인텔,15833633,//img.danawa.com/prod_img/500000/633/833/img/15833633_1.jpg?shrink=330:*&_v=20211201174351,아이비브릿지,인텔(소켓1155),2,2,0.5,3.0,55.0,,1,인텔 HD,1050.0,,8.0,,,16.0,,0,2.9,,22.0,,1687,201302,
인텔 펜티엄 G4500,8790.0,https://prod.danawa.com/info/?pcode=7467193&cate=112747,인텔,7467193,//img.danawa.com/prod_img/500000/193/467/img/7467193_1.jpg?shrink=330:*&_v=20211203140055,스카이레이크,인텔(소켓1151),2,2,0.5,3.0,51.0,,1,인텔 HD 530,,,14.0,2133.0,,16.0,,0,3.5,,14.0,,2766,201510,
인텔 코어i5-12세대 12500T,347990.0,https://prod.danawa.com/info/?pcode=16393835&cate=112747,인텔,16393835,//img.danawa.com/prod_img/500000/835/393/img/16393835_1.jpg?shrink=330:*&_v=20220214170248,엘더레이크,인텔(소켓1700),6,12,7.5,18.0,35.0,,1,인텔 UHD 770,1450.0,128.0,3.0,4800.0,2.0,20.0,3.0,1,2.0,4.4,10.0,,16786,202202,
인텔 코어i3-12세대 12100T,228000.0,https://prod.danawa.com/info/?pcode=16393682&cate=112747,인텔,16393682,//img.danawa.com/prod_img/500000/682/393/img/16393682_1.jpg?shrink=330:*&_v=20220214170258,엘더레이크,인텔(소켓1700),4,8,5.0,12.0,35.0,,1,인텔 UHD 730,1400.0,128.0,3.0,4800.0,2.0,20.0,3.0,1,2.2,4.1,10.0,,12784,202202,
인텔 제온 스케일러블 골드 6242R,3969000.0,https://prod.danawa.com/info/?pcode=18599837&cate=112747,인텔,18599837,//img.danawa.com/prod_img/500000/837/599/img/18599837_1.jpg?shrink=330:*&_v=20221227125341,캐스케이드레이크,인텔(소켓3647),20,40,,35.75,205.0,,0,,,1024.0,2.0,2933.0,6.0,48.0,4.0,0,3.1,4.1,14.0,,34963,202212,
인텔 셀러론 G1820,2000.0,https://prod.danawa.com/info/?pcode=6112877&cate=112747,인텔,6112877,//img.danawa.com/prod_img/500000/877/112/img/6112877_1.jpg?shrink=330:*&_v=20200708130056,하스웰,인텔(소켓1150),2,2,0.25,2.0,53.0,,1,인텔 HD,1050.0,,8.0,,,16.0,,0,2.7,,22.0,,1696,201502,
AMD FX 8300,62890.0,https://prod.danawa.com/info/?pcode=4143917&cate=112747,AMD,4143917,//img.danawa.com/prod_img/500000/917/143/img/4143917_1.jpg?shrink=330:*&_v=20200408165623,비쉐라,AMD(소켓AM3+),8,8,8.0,8.0,95.0,,0,,,,8.0,,,,,0,3.3,4.2,32.0,,5298,201606,
인텔 셀러론 G1850,3160.0,https://prod.danawa.com/info/?pcode=6112926&cate=112747,인텔,6112926,//img.danawa.com/prod_img/500000/926/112/img/6112926_1.jpg?shrink=330:*&_v=20181106113019,하스웰 리프레시,인텔(소켓1150),2,2,0.5,2.0,54.0,,1,인텔 HD,1050.0,,8.0,,,16.0,,0,2.9,,22.0,,1899,201408,
AMD 페넘II-X6 1055T,32990.0,https://prod.danawa.com/info/?pcode=4467073&cate=112747,AMD,4467073,//img.danawa.com/prod_img/500000/073/467/img/4467073_1.jpg?shrink=330:*&_v=20181128093855,투반,AMD(소켓AM3),6,6,3.0,6.0,95.0,,0,,,,24.0,2000.0,,,,0,2.8,3.3,45.0,,3287,201609,
인텔 코어i5-6세대 6500 + H110 패키지,83490.0,https://prod.danawa.com/info/?pcode=7914325&cate=112747,인텔,7914325,//img.danawa.com/prod_img/500000/325/914/img/7914325_1.jpg?shrink=330:*&_v=20220627123516,중고,인텔(소켓1151),4,4,1.0,6.0,65.0,,1,인텔 HD 530,1050.0,,14.0,2133.0,,16.0,,0,3.2,3.6,14.0,,5639,201905,
AMD 페넘II-X4 955,19990.0,https://prod.danawa.com/info/?pcode=4281793&cate=112747,AMD,4281793,//img.danawa.com/prod_img/500000/793/281/img/4281793_1.jpg?shrink=330:*&_v=20181128094103,데네브,AMD(소켓AM3),4,4,2.0,6.0,95.0,,0,,,,24.0,2000.0,,,,0,3.2,,45.0,,2484,201607,
인텔 코어i7-1세대 870,25420.0,https://prod.danawa.com/info/?pcode=4144446&cate=112747,인텔,4144446,//img.danawa.com/prod_img/500000/446/144/img/4144446_1.jpg?shrink=330:*&_v=20181115121159,린필드,인텔(소켓1156),4,8,1.0,8.0,95.0,,0,,,,8.0,,,16.0,,0,2.93,3.6,45.0,,3120,201606,
인텔 코어i5-2세대 2300,5250.0,https://prod.danawa.com/info/?pcode=17575589&cate=112747,인텔,17575589,//img.danawa.com/prod_img/500000/589/575/img/17575589_1.jpg?shrink=330:*&_v=20220801161319,샌디브릿지,인텔(소켓1155),4,4,1.0,6.0,95.0,,1,인텔 HD 2000,850.0,,8.0,,,16.0,,0,2.8,3.1,32.0,,3403,201101,
인텔 코어i7-2세대 2700K,49430.0,https://prod.danawa.com/info/?pcode=13395629&cate=112747,인텔,13395629,//img.danawa.com/prod_img/500000/629/395/img/13395629_1.jpg?shrink=330:*&_v=20210219131230,샌디브릿지,인텔(소켓1155),4,8,1.0,8.0,95.0,,1,인텔 HD 3000,850.0,,8.0,,,16.0,,0,3.5,3.9,32.0,,5732,201110,
인텔 코어i9-10세대 10850K,734770.0,https://prod.danawa.com/info/?pcode=12872624&cate=112747,인텔,12872624,//img.danawa.com/prod_img/500000/624/872/img/12872624_1.jpg?shrink=330:*&_v=20210512142544,코멧레이크S,인텔(소켓1200),10,20,,20.0,125.0,,1,인텔 UHD 630,1200.0,128.0,2.0,2933.0,2.0,16.0,4.0,0,3.6,5.2,14.0,,22611,202008,
인텔 코어i3-7세대 7320,62720.0,https://prod.danawa.com/info/?pcode=7812055&cate=112747,인텔,7812055,//img.danawa.com/prod_img/500000/055/812/img/7812055_1.jpg?shrink=330:*&_v=20200707165503,카비레이크,인텔(소켓1151),2,4,,4.0,51.0,,1,인텔 HD 630,1150.0,,14.0,2400.0,,16.0,,0,4.1,,14.0,,4844,201706,
인텔 코어i5-4세대 4670K,37490.0,https://prod.danawa.com/info/?pcode=6112593&cate=112747,인텔,6112593,//img.danawa.com/prod_img/500000/593/112/img/6112593_1.jpg?shrink=330:*&_v=20181106114947,하스웰,인텔(소켓1150),4,4,1.0,6.0,84.0,,1,인텔 HD 4600,1200.0,,8.0,,,16.0,,0,3.4,3.8,22.0,,5544,201306,
AMD 페넘II-X3 710,4990.0,https://prod.danawa.com/info/?pcode=4477138&cate=112747,AMD,4477138,//img.danawa.com/prod_img/500000/138/477/img/4477138_1.jpg?shrink=330:*&_v=20211201174416,헤카,AMD(소켓AM3),3,3,1.5,6.0,95.0,,0,,,,24.0,2000.0,,,,0,2.6,,45.0,,1551,201609,
인텔 코어i5-4세대 4690K,42000.0,https://prod.danawa.com/info/?pcode=4143967&cate=112747,인텔,4143967,//img.danawa.com/prod_img/500000/967/143/img/4143967_1.jpg?shrink=330:*&_v=20181120165644,데빌스캐년,인텔(소켓1150),4,4,0.25,6.0,88.0,,1,인텔 HD 4600,1200.0,,8.0,,,16.0,,0,3.5,3.9,22.0,,5678,201606,
인텔 코어i3-4세대 4360,16290.0,https://prod.danawa.com/info/?pcode=6112504&cate=112747,인텔,6112504,//img.danawa.com/prod_img/500000/504/112/img/6112504_1.jpg?shrink=330:*&_v=20181120165126,하스웰 리프레시,인텔(소켓1150),2,4,0.25,4.0,54.0,,1,인텔 HD 4600,1150.0,,8.0,,,16.0,,0,3.7,,22.0,,3609,201408,
인텔 코어i3-6세대 6320,37400.0,https://prod.danawa.com/info/?pcode=7466587&cate=112747,인텔,7466587,//img.danawa.com/prod_img/500000/587/466/img/7466587_1.jpg?shrink=330:*&_v=20200707170359,스카이레이크,인텔(소켓1151),2,4,0.5,4.0,51.0,,1,인텔 HD 530,1150.0,,14.0,2133.0,,16.0,,0,3.9,,14.0,,4398,201510,
인텔 셀러론 G1830,1990.0,https://prod.danawa.com/info/?pcode=6112894&cate=112747,인텔,6112894,//img.danawa.com/prod_img/500000/894/112/img/6112894_1.jpg?shrink=330:*&_v=20181106112647,하스웰,인텔(소켓1150),2,2,0.5,2.0,53.0,,1,인텔 HD,1050.0,,8.0,,,16.0,,0,2.8,,22.0,,1560,201401,
