name,price,link,company,product_seq,image,category,size,power_included,power_support,board_support,bay_133,bay_89,bay_64,pci_horizontal,pci_vertical,cooling_fan,led_fan,front_type,side_open,side_type,back_vent,front_vent,top_vent,bottom_vent,external_port,width,height,depth,gpu_size,cpu_cooler_size,power_size,liquid_cooler,radiator_top,radiator_front,radiator_rear,radiator_side,feature,led_color,reg_date,bookmark
IN WIN 805 TG3.0 (레드),,https://prod.danawa.com/info/?pcode=3517544&cate=112775,IN WIN,3517544,//img.danawa.com/prod_img/500000/544/517/img/3517544_1.jpg?shrink=330:*&_v=20190920150828,PC케이스(ATX),미들타워,파워미포함,표준-ATX,6,,2,2,8.0,,,,,,강화유리,120mm 이상,,,,3,205.0,476.0,455.0,320.0,156.0,220.0,2.0,,280.0,120.0,,0,,201509,
BIGS LUNA 메탈 USB 3.0,34500.0,https://prod.danawa.com/info/?pcode=1914612&cate=112775,BIGS,1914612,//img.danawa.com/prod_img/500000/612/914/img/1914612_1.jpg?shrink=330:*&_v=20170320184722,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,4,2,2,3,4.0,,,,,,통풍구,80mm,,,,3,180.0,380.0,413.0,330.0,,,,,,,,0,,201301,
선경씨앤씨 RPC-680,154150.0,https://prod.danawa.com/info/?pcode=964993&cate=112775,선경씨앤씨,964993,//img.danawa.com/prod_img/500000/993/964/img/964993_1.jpg?shrink=330:*&_v=20100528100726,랙마운트,랙마운트(4U),파워미포함,리던던트,0,3,8,,6.0,,,,,,,80mm,120mm,,,1,221.0,180.0,655.0,,,,,,,,,0,,200911,
투렉스 DOMA-PRO PCI 블랙,44170.0,https://prod.danawa.com/info/?pcode=954517&cate=112775,투렉스,954517,//img.danawa.com/prod_img/500000/517/954/img/954517_1.jpg?shrink=330:*&_v=20091019164724,,,,표준-ATX (M-ATX 지원),6,2,,,,,,,,,,,,,,0,221.0,265.0,225.0,,,,,,,,,0,,200910,
셀텍 E-T4 Thin Mini-ITX 실버 (쿨러 포함),43990.0,https://prod.danawa.com/info/?pcode=4525443&cate=112775,셀텍,4525443,//img.danawa.com/prod_img/500000/443/525/img/4525443_1.jpg?shrink=330:*&_v=20180430101346,미니ITX,미니ITX(리틀밸리),파워미포함,DC to DC,0,,,1,,,,,,,통풍구,,,,통풍구,0,44.0,197.0,185.0,,,,,,,,,0,,201610,
800 G5 TWR 먼지필터,3000.0,https://prod.danawa.com/info/?pcode=26446799&cate=112775,,26446799,//img.danawa.com/prod_img/500000/799/446/img/26446799_1.jpg?shrink=330:*&_v=20230804141643,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,202308,
리안리 T70-1X,89640.0,https://prod.danawa.com/info/?pcode=5814305&cate=112775,리안리,5814305,//img.danawa.com/prod_img/500000/305/814/img/5814305_1.jpg?shrink=330:*&_v=20190404150004,액세서리,,,,0,,,,,,,,,,,,,,,0,210.0,420.0,400.0,,,,,280.0,,,,0,,201801,
셀텍 E-K3 Mini-ITX USB 3.0 실버 180W (120W 파워어댑터 포함),134640.0,https://prod.danawa.com/info/?pcode=2919300&cate=112775,셀텍,2919300,//img.danawa.com/prod_img/500000/300/919/img/2919300_1.jpg?shrink=330:*&_v=20201218141725,미니ITX,미니ITX(리틀밸리),DC to DC,DC to DC,0,,1,2,,,,,,,통풍구,,,,,0,235.0,72.0,240.0,,,,,,,,,0,,201412,
리안리 PT-PMK-B,15000.0,https://prod.danawa.com/info/?pcode=1983660&cate=112775,리안리,1983660,//img.danawa.com/prod_img/500000/660/983/img/1983660_1.jpg?shrink=330:*&_v=20130401134825,액세서리,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,201304,
투렉스 DIY 4.0 (투명),54240.0,https://prod.danawa.com/info/?pcode=234780&cate=112775,투렉스,234780,//img.danawa.com/prod_img/large/group_469/234780_1.jpg?shrink=330:*&_v=20190925164020,,데스크탑,,표준-ATX,6,3,2,,,,,,,,,,,,,0,180.0,367.0,280.0,,,,,,,,,0,,200609,
