program_id,cpu_id,gpu_id,ram,dx,storage,os,spec_class
127,400,1079.0,0.125,DirectX 8.1,1.5,Microsoft® Windows® 98/Me/XP/2000,0
128,400,1079.0,0.125,,0.45,Microsoft® Windows® 98/Me/XP/2000,0
130,400,1153.0,0.25,DirectX 9.0c,4,Windows XP,0
130,400,123.0,1,DirectX 9.0c,4,Windows XP,1
131,423,1004.0,2.0,Version 11,2.5,"Windows 7, 64-bit",0
131,414,1098.0,4.0,Version 12,2.5,"Windows 10, 64-bit",1
132,265,1153.0,8,,20,Windows® 10 Home 64 Bit,0
132,282,954.0,16,,20,Windows® 10 Home 64 Bit or Windows® 11,1
133,400,,0.0625,DirectX 8.0,0.5,Windows 95/98/ME/2000/XP,0
134,361,123.0,2,9.0c,10,"Windows XP, Windows Vista, Windows 7, Windows 8, Windows 8.1",0
134,374,421.0,4,9.0c,10,"Windows Vista, Windows 7, Windows 8, Windows 8.1",1
135,114,421.0,6,Version 11,20,"Windows 7 SP1, Windows 8.1 or Windows 10 (64-bit versions)",0
135,147,876.0,8,Version 11,20,Windows 10 (64-bit),1
136,400,200.0,0.125,DirectX 8.1,0.9,Windows 98/ME/2000/XP,0
136,400,200.0,0.1875,DirectX 8.1,0.9,Windows 98/ME/2000/XP,1
137,400,1103.0,1,,10,,0
138,254,1068.0,4,Version 11,2,Windows 7 64-bit,0
138,209,1065.0,4,Version 11,4,Windows 10 64-bit,1
139,400,1127.0,2,Version 9.0c,0.17,Windows XP+,0
140,324,1065.0,8.0,,38,Windows 7/8/10 64bit,0
140,147,872.0,12.0,,38,Windows 7/8/10 64bit,1
141,400,1173.0,0.5,DirectX 9.0c,1,Windows® 2000/XP/Vista,0
141,400,1185.0,1,DirectX 9.0c,1,Windows® 2000/XP/Vista,1
142,400,1103.0,0.5,DirectX 9.0c,2,Windows XP/Vista,0
142,400,123.0,1,DirectX 9.0c,2,Windows XP/Vista,1
143,400,1103.0,0.125,DirectX 8.0,,Windows(R) 98/ME/2000/XP,0
144,291,1153.0,8,Version 11,17,"Windows 7 / 8 / 10, 64-bit",0
144,120,872.0,16,Version 11,17,"Windows 7 / 8 /10, 64-bit",1
145,291,1153.0,8,Version 11,17,"Windows 7 / 8 / 10, 64-bit",0
145,120,872.0,16,Version 11,17,"Windows 7 / 8 /10, 64-bit",1
146,291,1153.0,8,Version 11,15,Windows 7 / 8 / 10 (64-bit),0
146,120,872.0,16,Version 11,17,Windows 7 / 8 /10 (64-bit),1
147,400,1173.0,1,DirectX 9.0c or higher,0.75,Windows XP / Vista / 7,0
148,216,1098.0,8,,8,Windows 10 64 bit,0
149,424,1072.0,4,Version 11,4,"Windows 7, 8.1, or 10 64bit",0
149,424,1007.0,6,Version 11,4,"(Windows 7, 8.1, or 10 64bit)",1
150,400,1153.0,0.5,DirectX® 9.0c,0.3,"Windows XP, Windows Vista, Windows 7",0
150,424,1153.0,1,DirectX® 9.0c,0.3,"Windows XP, Windows Vista, Windows 7",1
151,400,1153.0,0.5,DirectX® 9.0c,0.3,"Windows XP, Windows Vista, Windows 7",0
151,424,1153.0,1,DirectX® 9.0c,0.3,"Windows XP, Windows Vista, Windows 7",1
152,400,1127.0,1,Version 9.0c,,"Windows Vista, 7",0
152,361,200.0,2,Version 9.0c,,"Windows Vista, 7, 8, 10",1
153,420,1072.0,4,Version 10,0.3,Win7 32-Bit,0
154,400,1106.0,1,9.0c,5,Windows XP/7/8/Vista,0
154,363,1153.0,2,9.0c,5,Windows XP/7/8/Vista,1
155,180,1007.0,8,12,2,Windows 7 (64-bit),0
155,255,876.0,8,12,2,Windows 10 (64-bit),1
156,316,1153.0,2,9.0c,1,Windows XP SP2,0
156,424,1153.0,4,9.0c,1,Windows 7,1
157,388,421.0,4,Version 11,0.65,Windows 7,0
157,287,1079.0,8,Version 11,0.65,Windows 10 (64-bit),1
158,162,1106.0,4,11.0,2,Windows 7,0
158,114,1007.0,8,11.0,4,Windows 10,1
159,400,200.0,2,9.0c,0.2,Windows XP / 7 / Vista / 8,0
159,400,896.0,4,9.0c,0.2,Windows XP / 7 / Vista / 8,1
160,292,1153.0,4,Version 9.0,2,Windows: Vista/7/8,0
161,400,,0.25,,1,Windows 7 or later,0
161,424,,2,,1,Windows 7 or later,1
162,182,1105.0,2,Version 11,0.5,Windows 10 or newer,0
163,376,1097.0,4,,0.3,"7, 8.1, 10 x64",0
163,281,1065.0,4,,0.3,"7, 8.1, 10 64 bit",1
164,317,112.0,4,Version 10,2,"Windows 7 SP1 64bit, Windows 8.1 64bit, Windows 10 64bit",0
165,400,,4,Version 10,0.25,Windows 7,0
165,182,,6,Version 10,0.25,Windows 10,1
166,285,1004.0,2,Version 11,20,Windows 7,0
167,292,1153.0,2,9.0c,8,Windows XP SP2,0
167,320,1153.0,4,10,8,Windows 7,1
169,123,1004.0,8,,,Win 10 64-bit,0
169,158,872.0,16,,,Win 10 64-bit,1
170,292,1153.0,2,DirectX 9.0c,8,Windows XP SP2,0
170,320,1153.0,4,DirectX 10,8,Windows 7,1
171,182,,2,Version 10,6,Windows 7 or Later,0
171,320,,4,Version 11,6,Windows 7 or Later,1
172,400,1153.0,4,Version 10,2,"Windows 7, 8 or 10 (64-bit)",0
172,400,1153.0,8,,,Windows 10 (64-bit),1
173,400,200.0,2,,6,"Microsoft Windows Vista, Windows 7 or Windows 8",0
174,263,1031.0,8,,,(Windows 10 64-bit),0
174,181,674.0,16,,,(Windows 10 64-bit),1
175,400,1103.0,1,Version 9.0c,7,Microsoft Windows XP (with Service Pack 3) / Windows Vista (with Service Pack 2),0
176,216,1007.0,8,Version 11,12,Windows 7 SP1 / 8.1 / 10 (64 bit),0
176,283,1135.0,8,Version 11,12,Windows 7 SP1 / 8.1 / 10 (64 bit),1
178,400,123.0,2.0,DirectX®: 9.0c,8.5,"Windows 7 SP1, Windows Vista with SP2, Windows XP with SP3",0
179,400,1103.0,1,,0.08,Windows 7 or Greater,0
180,238,123.0,1,DirectX® 9.0c ,1.5,Windows XP SP2 or later ,0
181,238,123.0,1,DirectX® 9.0c ,2.0,Windows XP SP2 or later ,0
182,238,123.0,1,DirectX® 9.0c,1.5,Windows® XP SP2 or later,0
183,400,1072.0,4,Version 9.0c,3,Microsoft® Windows®  7 / 8 / 10,0
184,400,1106.0,2,9.0c,,Windows XP/Vista/Win 7/Win 8,0
184,320,421.0,4,9.0c,,Windows XP/Vista/Win 7/Win 8,1
185,400,200.0,1,9.0,2,Windows XP SP3 (1GB RAM) / Windows 7 / Vista (1.5 GB RAM),0
186,400,1102.0,2,DirectX 9.0c,2.5,Windows® 7 / Vista / Vista64 / XP,0
186,400,1102.0,2,DirectX 9.0c,2.5,Windows® 7 / Vista / Vista64 / XP,1
187,400,1102.0,2,Version 9.0,4,Windows® XP or above,0
187,400,1102.0,4,Version 9.0c,6,Windows® XP or above,1
188,400,1103.0,0.5,DirectX 9.0c,0.5,"XP,Vista,7",0
189,320,1106.0,4,Version 11,35,Windows 7 (32bit),0
189,374,1007.0,8,Version 11,35,Windows 7 (64bit),1
190,400,558.0,0.03125,DirectX v6.0,,,0
191,400,1127.0,2,DirectX 9.0c,,Windows 7/ XP/Vista,0
191,400,112.0,2,DirectX 9.0c,,Windows 7/ XP/Vista,1
192,400,1079.0,0.125,DirectX 8a or higher,0.75,"English Windows 95, 98, Me, 2000",0
192,400,,0.25,DirectX 8a or higher,1.2,"English Windows 95, 98, Me, 2000",1
193,400,1079.0,0.125,DirectX 8a or higher,0.75,"English Windows 95, 98, Me, 2000",0
193,400,,0.25,DirectX 8a or higher,1.2,"English Windows 95, 98, Me, 2000",1
194,400,1153.0,0.125,DirectX 8,1.3,Windows 95/98/2000/Me/XP,0
195,400,200.0,2,DirectX 9.0c,20,Windows XP SP3,0
195,400,421.0,2,DirectX 9.0c,20,Windows XP SP3/Vista/Windows 7,1
196,263,1004.0,8,Version 12,60,"Windows 10 or 11, 64-bit",0
