name,price,link,company,product_seq,image,category,size,power_included,power_support,board_support,bay_133,bay_89,bay_64,pci_horizontal,pci_vertical,cooling_fan,led_fan,front_type,side_open,side_type,back_vent,front_vent,top_vent,bottom_vent,external_port,width,height,depth,gpu_size,cpu_cooler_size,power_size,liquid_cooler,radiator_top,radiator_front,radiator_rear,radiator_side,feature,led_color,reg_date,bookmark
darkFlash DS200 강화유리 (블랙),40300,https://prod.danawa.com/info/?pcode=27268151&cate=112775,darkFlash,27268151,//img.danawa.com/prod_img/500000/151/268/img/27268151_1.jpg?shrink=330:*&_v=20230807152252,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,36,,1,3,5.0,,3,3,,,강화유리,120mm LED x1,,120mm LED x2,,0,220,356,415,350,170,170,2,240.0,,120.0,,0,,202308,
Fractal Design Terra (Silver),335120,https://prod.danawa.com/info/?pcode=20344577&cate=112775,Fractal Design,20344577,//img.danawa.com/prod_img/500000/577/344/img/20344577_1.jpg?shrink=330:*&_v=20230601081107,미니ITX,미니ITX(리틀밸리),,M-ATX(SFX),0,,,2,,,,,,,,,,,,0,153,218,343,322,77,130,,,,,120.0,0,,202305,
darkFlash DK110,18000,https://prod.danawa.com/info/?pcode=17976938&cate=112775,darkFlash,17976938,//img.danawa.com/prod_img/500000/938/976/img/17976938_1.jpg?shrink=330:*&_v=20221012143048,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,1,1,1,7.0,,1,,,,통풍구,120mm x1,,,,3,190,410,344,285,160,,,,,,,0,,202210,
3RSYS L610 Quiet (블랙),86000,https://prod.danawa.com/info/?pcode=18136580&cate=112775,3RSYS,18136580,//img.danawa.com/prod_img/500000/580/136/img/18136580_1.jpg?shrink=330:*&_v=20230525171622,PC케이스(ATX),미들타워,파워미포함,표준-ATX,23,,3,1,10.0,,4,4,메쉬,스윙도어,강화유리,140mm LED x1,140mm LED x3,,,4,233,487,484,400,180,200,3,360.0,360.0,,,0,LED 색상,202210,
SSUPD MESHROOM D (Charcoal Black),168990,https://prod.danawa.com/info/?pcode=27989039&cate=112775,SSUPD,27989039,//img.danawa.com/prod_img/500000/039/989/img/27989039_1.jpg?shrink=330:*&_v=20230904145923,미니ITX,미니ITX(리틀밸리),파워미포함,표준-ATX,0,,3,,,,,,메쉬,,통풍구,,,,,0,167,247이상,363이하,337,138~142,140~160,,,,,,0,,202309,
darkFlash DLM21 RGB MESH 강화유리 (화이트),55980,https://prod.danawa.com/info/?pcode=9376491&cate=112775,darkFlash,9376491,//img.danawa.com/prod_img/500000/491/376/img/9376491_1.jpg?shrink=330:*&_v=20220513111701,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,36,,2,2,4.0,,3,3,메쉬,스윙도어,강화유리,120mm LED x1,120mm LED x2,,,3,208,425,376,330,160,210,2,240.0,,120.0,,0,LED 색상,201908,
darkFlash DF2100 MESH RGB 강화유리 (블랙),61900,https://prod.danawa.com/info/?pcode=20255534&cate=112775,darkFlash,20255534,//img.danawa.com/prod_img/500000/534/255/img/20255534_1.jpg?shrink=330:*&_v=20230522082528,PC케이스(ATX),미들타워,파워미포함,,39,,2,2,7.0,2,4,4,메쉬,스윙도어,강화유리,120mm LED x1,140mm LED x3,,,7,210,482,450,270~400,165,230~400,,360.0,360.0,120.0,240.0,0,,202305,
JONSBO U4 MINI MESH (Black),89000,https://prod.danawa.com/info/?pcode=27600776&cate=112775,JONSBO,27600776,//img.danawa.com/prod_img/500000/776/600/img/27600776_1.jpg?shrink=330:*&_v=20230817161917,PC케이스(M-ATX),미니타워,파워미포함,,20,,1,1,5.0,,,,,,통풍구,,,,,10,220,385,440,420,165,200,3,360.0,,,,0,,202308,
DAVEN KAISER AIR 강화유리 (블랙),48280,https://prod.danawa.com/info/?pcode=16144583&cate=112775,DAVEN,16144583,//img.danawa.com/prod_img/500000/583/144/img/16144583_1.jpg?shrink=330:*&_v=20220512152503,PC케이스(ATX),미들타워,파워미포함,표준-ATX,22,,2,2,7.0,,4,4,메쉬,스윙도어,강화유리,120mm LED x1,120mm LED x3,,,3,210,483,394,340,160,170,3,280.0,360.0,120.0,,0,LED 색상,202201,
3RSYS J500 (블랙),39050,https://prod.danawa.com/info/?pcode=27672776&cate=112775,3RSYS,27672776,//img.danawa.com/prod_img/500000/776/672/img/27672776_1.jpg?shrink=330:*&_v=20230821142410,PC케이스(ATX),미들타워,파워미포함,,22,,2,3,7.0,,3,3,메쉬,,강화유리,120mm LED x1,140mm LED x2,,,3,215,465,367,320,165,160,3,240.0,360.0,,,0,LED 색상,202308,
DAVEN 라피네,14840,https://prod.danawa.com/info/?pcode=17951918&cate=112775,DAVEN,17951918,//img.danawa.com/prod_img/500000/918/951/img/17951918_1.jpg?shrink=330:*&_v=20221007093101,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,36,,2,3,,,1,,,,통풍구,80mm x1,,,,3,181,352,308,240,147,190,,,,,,0,,202210,
Fractal Design Focus 2 Solid (Black),114990,https://prod.danawa.com/info/?pcode=17711576&cate=112775,Fractal Design,17711576,//img.danawa.com/prod_img/500000/576/711/img/17711576_1.jpg?shrink=330:*&_v=20221006083540,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,2,2,7.0,,2,,일반(솔리드),,강철,,140mm x2,,,2,215,450.5,471.5,405,170,175~250,3,240.0,360.0,120.0,,0,,202208,
MSI MPG 벨록스 100P 에어플로우,111000,https://prod.danawa.com/info/?pcode=15055580&cate=112775,MSI,15055580,//img.danawa.com/prod_img/500000/580/055/img/15055580_1.jpg?shrink=330:*&_v=20221221163940,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,2,1,7.0,,4,1,,,강화유리,120mm LED x1,120mm x3,,,34,231,490,474,380,175,220,3,360.0,360.0,120.0,,0,LED 색상,202108,
쿨러마스터 MASTER BOX TD500 Mesh V2 Street Fighter 6 Ryu,153000,https://prod.danawa.com/info/?pcode=28059635&cate=112775,쿨러마스터,28059635,//img.danawa.com/prod_img/500000/635/059/img/28059635_1.jpg?shrink=330:*&_v=20230906144428,PC케이스(ATX),미들타워,파워미포함,,103,,2,3,7.0,,4,4,메쉬,,강화유리,120mm LED x1,120mm LED x3,,,10,210,500,499,410,165,170~200,3,360.0,360.0,120.0,,0,LED 색상,202309,
3RSYS R260 (화이트),43540,https://prod.danawa.com/info/?pcode=19073543&cate=112775,3RSYS,19073543,//img.danawa.com/prod_img/500000/543/073/img/19073543_1.jpg?shrink=330:*&_v=20230525171757,PC케이스(ATX),미들타워,파워미포함,표준-ATX,22,,2,2,7.0,,6,6,메쉬,스윙도어,강화유리,120mm LED x1,120mm LED x3,120mm LED x2,,3,200,456,369,320,160,185,2,,240.0,120.0,,0,RGB,202302,
앱코 SUITMASTER U3000 갤러리 ARGB 강화유리 (화이트),108600,https://prod.danawa.com/info/?pcode=21583046&cate=112775,앱코,21583046,//img.danawa.com/prod_img/500000/046/583/img/21583046_1.jpg?shrink=330:*&_v=20230816094835,PC케이스(ATX),미들타워,,,38,,2,4,,,1,1,강화유리,,강화유리,140mm LED x1,,,,6,440,517,235,245~410,185,220~250,3,360.0,,140.0,360.0,0,,202307,
잘만 T3 PLUS,26960,https://prod.danawa.com/info/?pcode=19814957&cate=112775,잘만,19814957,//img.danawa.com/prod_img/500000/957/814/img/19814957_1.jpg?shrink=330:*&_v=20230418125346,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,36,,,,4.0,,2,,일반(솔리드),,강화유리,120mm x1,120mm x1,,,3,206,422,355,290,160,170,,,120.0,,,0,,202304,
